Started,AcresBurned,Longitude,Type,Latitude,ExtinguishedDate
2020-02-15T17:48:27Z,15.0,-123.6378411,Wildfire,40.511092,
2020-02-17T15:04:08Z,102.0,-120.3291855,Wildfire,39.6923001,2020-02-20T14:40:00Z
2020-02-23T08:35:30Z,75.0,-122.84722222,Wildfire,40.33583333,2020-02-24T14:32:00Z
2020-02-23T17:50:20Z,57.0,-120.49392,Wildfire,40.62155,2020-02-23T14:45:00Z
2020-02-25T14:17:21Z,211.0,-122.94111111,Wildfire,39.75638899,2020-03-03T11:21:00Z
2020-03-02T14:08:05Z,154.0,-122.384532,Wildfire,39.774968,2020-03-05T07:26:00Z
2020-03-03T11:13:50Z,180.0,-117.51793,Wildfire,33.96957,
2020-03-03T15:20:43Z,,-121.12381,Wildfire,39.45493,
2020-03-06T12:44:00Z,20.0,-117.40906,Wildfire,33.65263,
2020-04-04T20:22:08Z,275.0,-115.5865,Wildfire,32.93432,2020-04-12T13:51:00Z
2020-04-23T20:52:04Z,26.0,-122.43905,Wildfire,40.09554,2020-04-24T09:53:00Z
2020-04-25T14:59:00Z,55.0,-122.97693,Wildfire,40.63442,
2020-04-27T14:59:04Z,47.0,-121.595225,Wildfire,37.82066,2020-04-27T20:33:00Z
2020-05-03T15:52:04Z,2060.0,-120.106407,Wildfire,36.075003,2020-05-03T13:31:00Z
2020-05-07T08:10:19Z,156.0,-120.29379,Wildfire,34.47438,2020-05-09T13:50:00Z
2020-05-08T14:46:20Z,17.0,-121.47273,Wildfire,39.42208,2020-05-08T15:21:00Z
2020-05-18T13:38:14Z,20.0,-117.024114,Wildfire,33.861054,2020-05-18T18:11:00Z
2020-05-21T11:30:00Z,152.0,-119.982359,Wildfire,37.11715,
2020-05-22T15:27:09Z,20.0,-122.403634,Wildfire,38.697834,2020-05-23T14:00:00Z
2020-05-27T19:33:55Z,5000.0,-120.70524,Wildfire,35.34237,2020-05-28T06:45:00Z
2020-05-28T17:08:59Z,60.0,-117.34934,Wildfire,33.83167,2020-05-28T20:30:00Z
2020-05-30T17:48:59Z,60.0,-86.8616,Wildfire,35.9994,
2020-05-31T18:09:09Z,1395.0,-119.74577,Wildfire,34.01389,
2020-06-01T15:29:05Z,237.0,-119.93221,Wildfire,37.11806,
2020-06-01T15:52:43Z,670.0,-121.390862,Wildfire,38.824371,
2020-06-01T17:41:59Z,10.0,-123.48018,Wildfire,39.1296,
2020-06-02T17:01:52Z,37.0,-120.288882,Wildfire,40.809323,2020-06-02T18:33:00Z
2020-06-02T19:38:16Z,129.0,-116.524014,Wildfire,33.782532,2020-06-07T08:34:00Z
2020-06-03T18:26:25Z,300.0,-122.042199,Wildfire,38.232281,2020-06-04T09:26:00Z
2020-06-04T07:38:05Z,19.0,-121.726223,Wildfire,37.329163,
2020-06-04T16:36:17Z,15.0,-122.097933,Wildfire,40.837885,2020-06-04T07:30:00Z
2020-06-04T19:36:47Z,126.0,-121.851895,Wildfire,37.229703,2020-06-07T07:42:00Z
2020-06-05T09:04:00Z,39.0,-121.340239,Wildfire,38.98487,2020-06-05T12:32:00Z
2020-06-05T16:56:55Z,141.0,-122.549816,Wildfire,38.224849,2020-06-06T18:37:00Z
2020-06-05T17:09:00Z,79.0,-122.156313,Wildfire,38.196893,2020-06-05T15:10:00Z
2020-06-06T16:19:20Z,107.0,-122.536406,Wildfire,38.216134,2020-06-08T18:30:00Z
2020-06-06T16:36:26Z,1837.0,-122.038208,Wildfire,38.470809,2020-06-10T07:48:00Z
2020-06-06T18:00:51Z,100.0,-122.002811,Wildfire,37.994368,2020-06-07T07:52:00Z
2020-06-07T14:43:51Z,211.0,-121.0781,Wildfire,36.2644,
2020-06-07T19:15:00Z,85.0,-120.215454,Wildfire,37.61955,2020-06-10T07:03:00Z
2020-06-08T13:55:53Z,80.0,-121.16483,Wildfire,37.463636,2020-06-08T18:42:00Z
2020-06-08T15:45:17Z,27.0,-117.37581,Wildfire,33.638067,2020-06-09T09:51:00Z
2020-06-08T16:16:07Z,230.0,-120.81509,Wildfire,35.94979,2020-06-09T12:24:00Z
2020-06-08T17:46:04Z,100.0,-117.46036,Wildfire,33.82925,2020-06-09T18:45:00Z
2020-06-08T20:50:06Z,20.0,-116.89655,Wildfire,33.78275,2020-06-08T20:46:00Z
2020-06-09T14:35:25Z,29.0,-120.988571,Wildfire,38.827755,
2020-06-09T15:22:55Z,151.0,-123.21318,Wildfire,38.89695,2020-06-10T18:57:00Z
2020-06-09T21:51:40Z,1100.0,-117.47166,Wildfire,33.37579,2020-06-12T09:23:00Z
2020-06-10T13:11:26Z,300.0,-119.17808,Wildfire,34.29475,2020-06-12T07:53:00Z
2020-06-10T14:52:42Z,1680.0,-120.00521,Wildfire,35.35146,2020-06-11T20:23:00Z
2020-06-10T18:30:38Z,803.0,-118.77347,Wildfire,34.46182,2020-06-17T13:42:00Z
2020-06-11T13:08:40Z,100.0,-116.7862,Wildfire,32.73044,2020-06-14T18:47:00Z
2020-06-11T16:57:46Z,90.0,-116.690712,Wildfire,32.580882,2020-06-13T18:00:00Z
2020-06-11T18:25:12Z,40.0,-121.378879,Wildfire,38.733421,2020-06-11T20:46:00Z
2020-06-12T12:41:17Z,5042.0,-121.201927,Wildfire,38.520981,2020-06-17T08:11:00Z
2020-06-12T17:35:38Z,533.0,-119.36572,Wildfire,36.82276,2020-07-08T08:31:00Z
2020-06-13T14:27:51Z,191.0,-120.08522,Wildfire,37.40827,2020-06-16T19:17:00Z
2020-06-13T18:32:06Z,10.0,-117.461925,Wildfire,33.776033,2020-06-13T08:26:00Z
2020-06-13T18:52:54Z,34.0,-80.49163,Wildfire,39.14783,2020-06-14T07:36:00Z
2020-06-14T15:03:45Z,696.0,-120.28867,Wildfire,34.63309,
2020-06-15T16:44:39Z,445.0,-120.69959,Wildfire,35.17977,2020-06-19T07:27:00Z
2020-06-16T14:11:55Z,813.0,-120.92925,Wildfire,36.3011,2020-06-21T19:27:00Z
2020-06-16T14:44:53Z,18.0,-120.56823,Wildfire,35.40953,2020-06-17T14:59:00Z
2020-06-16T16:58:00Z,1455.0,-120.72958,Wildfire,38.07741,2020-06-20T19:10:00Z
2020-06-17T12:54:12Z,95.0,-121.60037,Wildfire,39.52408,2020-06-17T19:20:00Z
2020-06-17T15:49:46Z,89.0,-121.20828,Wildfire,38.23432,2020-06-18T10:44:00Z
2020-06-17T16:39:25Z,68.0,-122.205628,Wildfire,40.000132,
2020-06-17T16:54:46Z,83.0,-121.42113,Wildfire,35.9497,2020-06-22T09:07:00Z
2020-06-17T20:22:58Z,165.0,-118.6894,Wildfire,35.27678,2020-06-18T19:17:00Z
